Year, Landings,Time_block,AMO_annual,AMO_DJFMA,NAO_DJF_st,NAO_DJF_PC,NAO_DJFMA_PC,NAO_DJFMA_st
1915,148,Campaign,0.0935,-0.0844,1.6,-0.21,-0.22,0.6
1916,4501,Campaign,-0.076416667,-0.0676,1.1,0.41,-0.21,-0.16
1917,1338,Campaign,-0.279583333,-0.3116,-3.6,-1.29,-1.06,-2.04
1918,157,Campaign,-0.260833333,-0.166,-1.8,-0.02,-0.13,-0.68
1919,92,Campaign,-0.186916667,-0.1514,-1.3,-0.98,-0.54,-0.28
1920,5,Campaign,-0.335833333,-0.3878,2.9,1.14,1.00,1.48
1921,523,Early,-0.22125,-0.289,0.2,0.1,0.54,0.54
1922,525,Early,-0.320916667,-0.2628,3,0.54,0.42,1.26
1923,623,Early,-0.325166667,-0.3956,1.7,0.42,0.32,0.72
1924,682,Early,-0.153583333,-0.1098,0.3,-0.02,-0.66,-0.98
1925,461,Early,-0.160416667,-0.2678,3,1.38,0.92,1.36
1926,904,Early,0.084583333,0.0686,-1.5,-0.66,-0.10,-0.5
1927,1264,Early,0.108666667,0.0702,0.8,0.39,0.49,0.82
1928,1076,Early,-0.006916667,-0.0722,1.1,0.4,0.27,0.2
1929,2096,Early,-0.11275,-0.0772,-2.2,-0.87,-0.55,-1.64
1930,1858,Early,0.009583333,-0.1582,1.8,0.57,0.28,0.48
1931,1206,Early,0.177333333,0.124,2,-0.04,-0.39,0.3
1932,961,Early,0.227166667,0.2072,-1.4,0.4,-0.21,-0.6
1933,688,Early,0.19125,0.128,-0.3,-0.04,-0.11,-0.34
1934,,Early,-0.00925,-0.121,1,0.98,0.60,0.38
1935,1204,Early,0.016,-0.0388,0.7,0.12,-0.13,-0.16
1936,,Early,0.148166667,0.154,-3.9,-2.02,-1.40,-1.82
1937,1101,Early,0.291166667,0.0706,0.9,0.41,-0.04,0.2
1938,533,Early,0.238666667,0.2296,0.2,0.09,0.42,0.16
1939,402,Early,0.106083333,0.0982,0.5,-0.24,-0.02,0.22
1940,269,Early,-0.032833333,-0.0782,-3.4,-1.94,-1.64,-1.68
1941,,WWII,0.170333333,0.0174,-2.2,-1.15,-1.07,-1.3
1942,62,WWII,0.179416667,0.211,-0.3,-0.74,-0.87,-0.54
1943,8,WWII,0.02875,0.0154,1.3,0.48,0.94,1.28
1944,22,WWII,0.3445,0.317,1,0.81,0.29,-0.06
1945,40,WWII,0.215,0.3324,0.8,-0.35,-0.18,0.02
1946,129,PostWWII,0.013833333,0.161,-0.2,-0.27,-0.01,0.46
1947,191,PostWWII,-0.090833333,-0.1028,-1.8,-1.77,-0.84,-0.46
1948,465,PostWWII,0.006416667,-0.0082,-0.8,-0.42,0.33,0.32
1949,582,PostWWII,0.085333333,0.1044,1.3,1.34,0.97,0.92
1950,1089,PostWWII,-0.015083333,-0.006,1,0.38,0.49,0.7
1951,1031,PostWWII,0.196083333,0.076,0.9,-0.44,-0.78,-0.46
1952,964,PostWWII,0.287166667,0.1922,1.5,0.66,-0.05,0.66
1953,1439,PostWWII,0.256416667,0.2508,-0.7,-0.25,-0.36,-0.72
1954,1582,PostWWII,0.035083333,0.1354,1.5,0.29,0.36,0.88
1955,1629,PostWWII,0.184333333,0.0422,-1.7,-1.01,-1.06,-0.88
1956,707,PostWWII,-0.027666667,0.1244,-2,-1.28,-0.96,-0.96
1957,252,PostWWII,0.031833333,-0.0508,1.2,0.61,0.11,0.36
1958,672,PostWWII,0.20525,0.203,-1.1,-0.52,-1.02,-0.54
1959,380,PostWWII,0.043666667,0.0818,-1.2,-0.17,0.09,0.02
1960,1064,PostWWII,0.226083333,0.1388,-2.2,-1.63,-1.33,-0.52
1961,388,PostWWII,0.090166667,0.1318,2,0.48,0.31,0.6
1962,291,PostWWII,0.0625,0.1542,-0.2,0.07,-0.69,-1.06
1963,121,PostWWII,-0.005416667,0.1508,-4,-1.61,-1.17,-1.5
1964,596,PostWWII,-0.105583333,-0.0438,-2.8,-0.7,-0.53,-1.12
1965,614,PostWWII,-0.169833333,-0.1338,-2.2,-0.66,-0.55,-0.42
1966,438,PostWWII,-0.0065,-0.031,-3.1,-1.98,-1.55,-1.2
1967,50,PostWWII,-0.108916667,0.04,0.8,0,0.59,0.94
1968,32,PostWWII,-0.178166667,-0.1926,-1.1,-0.6,-0.31,-0.46
1969,33,PostWWII,-0.001833333,0.054,-4.3,-2.35,-1.83,-1.8
1970,61,PostWWII,-0.115,-0.0108,-0.3,-1.08,-0.92,-0.18
1971,66,Longline,-0.324,-0.2942,-0.8,-0.46,-0.76,-0.66
1972,122,Longline,-0.366166667,-0.3542,0.9,-0.02,0.27,0.82
1973,394,Longline,-0.228916667,-0.345,2.4,1.17,0.69,0.42
1974,586,Longline,-0.433833333,-0.344,1.9,0.49,0.44,0.64
1975,710,Longline,-0.312416667,-0.3248,1.2,1.02,0.47,0.46
1976,1010,Longline,-0.377666667,-0.4126,0.8,1.17,1.01,0.8
1977,2082,Longline,-0.203416667,-0.3098,-2.7,-1.68,-0.88,-1.04
1978,3257,Longline,-0.194083333,-0.161,-1.6,-1.09,-0.70,-0.42
1979,3968,Longline,-0.124583333,-0.1964,-3.4,-2.03,-1.30,-1.4
1980,3889,Longline,-0.03275,-0.0532,0,-0.18,-0.13,-0.02
1981,3499,Longline,-0.090833333,-0.1348,1.9,1.03,0.12,0.28
1982,1990,Longline,-0.226916667,-0.0784,-0.5,-0.83,0.07,0.14
1983,1876,Longline,-0.085,-0.1208,1.9,1.4,0.63,0.98
1984,2009,Longline,-0.22175,-0.0882,2.9,1.08,0.27,0.48
1985,1961,Longline,-0.281416667,-0.3442,-1.7,-0.96,-0.52,-0.38
1986,1950,Longline,-0.288833333,-0.307,-0.7,-0.89,-0.06,0.48
1987,3210,Longline,0.0525,-0.167,-1.5,-0.5,-0.35,-0.36
1988,1361,Longline,-0.019166667,-0.0084,-0.2,-0.21,-0.42,-0.48
1989,454,Longline,-0.097,-0.213,3.4,2.44,1.78,2.02
1990,874,Longline,-0.0525,-0.1784,1.9,1.21,1.87,1.64
1991,1189,Longline,-0.146416667,-0.107,1.2,0.96,0.59,0.66
1992,1653,Longline,-0.23325,-0.1528,0.7,1.62,1.32,1
1993,1838,Longline,-0.224666667,-0.2242,1.9,1.83,1.34,1.26
1994,786,Longline,-0.190916667,-0.2744,2,0.27,0.79,1.94
1995,666,Longline,0.120833333,-0.0196,2.8,1.34,0.67,1.04
1996,1121,Longline,-0.072083333,-0.0094,-2.1,-1.35,-1.18,-1.66
1997,1810,Longline,0.037583333,-0.0538,-0.8,0.21,0.41,-0.58
1998,1342,Longline,0.358166667,0.2332,-0.2,-0.22,-0.17,0.14
1999,525,Longline,0.103666667,0.1016,2.7,1.09,0.40,1.06
2000,506,Longline,0.014,0.0078,2.6,1.82,0.93,0.56
2001,874,FMP,0.104833333,-0.0556,-1.3,-0.65,-0.71,-0.58
2002,851,FMP,0.050916667,0.1466,-0.5,0.53,0.48,0.24
2003,1130,FMP,0.216833333,0.047,-0.2,-0.31,0.00,-0.44
2004,1215,FMP,0.192166667,0.182,-1.1,-0.38,-0.11,0.18
2005,676,FMP,0.27775,0.2,1.4,1.08,0.16,0.04
2006,907,FMP,0.252916667,0.1346,-0.2,-0.4,-0.55,-0.24
2007,749,FMP,0.133583333,0.1692,1.4,0.86,0.90,1.2
2008,737,FMP,0.1245,0.0946,1.4,1.14,0.52,0.3
2009,864,FMP,0.025583333,-0.0984,1,-0.08,0.15,1.28
